0|You’re not the sort to play safe and even if you have been a bit more cautious than usual in recent weeks you will more than make up for it over the next few days. Plan your new adventure today and start working on it tomorrow.|12-01-2013|aries
1|There is no such thing as something for nothing and if you do not quite believe that now you will believe it by the end of the day. If you lose something valuable accept it as the price you must pay to learn this important lesson.|12-02-2013|aries
2|As the new moon falls in one of the more adventurous areas of your chart you will take the kind of risk you might usually steer clear of. No doubt it will surprise a few people, including yourself, when it pays off handsomely.|12-03-2013|aries
3|You will hear something amazing today but can you believe it? If it sounds too good to be true then it might be wise to check it out. Commit too soon and you could find you have signed up for something that does you no good.|12-04-2013|aries
4|A friend or colleague you have not seen for a while will come back into your life today, tomorrow of over the weekend and you will be hugely pleased. This time, when you say farewell, promise to stay in touch – and mean it. |12-05-2013|aries
5|You may be a nice guy by nature but most likely you will refuse to come to the rescue of someone who is in distress today. It may seem heartless but you know it’s for the best – it’s the only way they are going to learn.|12-06-2013|aries
6|Someone will give you a tough time this weekend and although you know you don’t deserve it you also know there is no point complaining. Do what they expect of you and, if at all possible, do it with a smile on your face.|12-07-2013|aries
7|You will be restless this coming week, without knowing why. Get out and about by all means but don’t wander too far from home or you may have trouble getting back again. Wherever you go, stay in touch with loved ones. |12-08-2013|aries
8|You may be open and honest by nature but is letting any one and everyone know what you are thinking such a good idea? Some things are best kept to yourself, especially things that rivals and opponents may be able to make use of.|12-09-2013|aries
9|You must avoid wishful thinking today. Cosmic activity in areas of your chart that deal with self-deception could lead you to make some silly mistakes. Reality is what it is – there is no need to embellish it or wish it were something different.|12-10-2013|aries
10|If you have not made as much progress as you would have liked on a project of some kind don’t worry – and certainly don’t work even harder. Maybe in future you should set yourself targets you know you will be able to reach.|12-11-2013|aries
11|You may think you have to tear everything down and start again from scratch but it’s really not necessary. There is precious little wrong with your life as it is and a few minor changes here and there is all that is required.|12-12-2013|aries
12|A decision you made a long time ago now doesn’t seem like such a great idea but that’s too bad because you are stuck with it. Make the best of the situation and promise yourself that you won’t be so hasty in future.|12-13-2013|aries
13|If someone you have to deal with on a day-to-day basis gets a bit bossy this weekend let them know you will not be pushed around. Others will only try to get away with what they think they can get away with. Make that nothing!|12-14-2013|aries
14|If you are on the move over the next few days try to steer clear of people who upset you emotionally. Once you give in to negative emotions it will all start going wrong and you’ll end up miles from where you want to be.|12-15-2013|aries
15|Family and financial problems can easily be resolved over the next seven days, but you must not keep putting them off. If you have to say something unpleasant the quicker you get it over with the less it will hurt – for both of you|12-16-2013|aries
16|There are times when it is right to back down but this isn’t one of them. If you find yourself under attack today you must stand up and fight back. Don’t be intimidated by those who make lots of noise. It’s mainly for show.|12-17-2013|aries
17|You will get exactly what you deserve today: no more and no less. If the rewards are good don’t doubt that you have earned them; and if the rewards are not so good then buck up your ideas and aim to do better next time.|12-18-2013|aries
18|You may have lots of big ideas in your mind but are you ever going to get around to turning them into something useful, something that makes a difference both to yourself and to others? Talk is cheap – it’s actions that count.|12-19-2013|aries
19|A clash of opposing viewpoints is likely on the work front today, and because you need to get along with both sides you must stay neutral. The best approach is to treat it all as a bit of a joke, because that’s exactly what it is.|12-20-2013|aries
20|The Sun crosses the midheaven angle of your chart today, giving you the authority you have been lacking in recent weeks. Make the most of this change to win employers and other authority figures round to your way of thinking.|12-21-2013|aries
